,diseases,#M,FPR_M,FNR_M,#F,FPR_F,FNR_F
0,Enlarged Cardiomediastinum,15560,0.075,0.126,15560,0.075,0.126
1,Cardiomegaly,14524,0.224,0.191,14524,0.224,0.191
2,Lung Opacity,12811,0.17,0.206,12811,0.17,0.206
3,Lung Lesion,21425,0.049,0.454,21425,0.049,0.454
4,Edema,17003,0.136,0.21,17003,0.136,0.21
5,Consolidation,17359,0.096,0.202,17359,0.096,0.202
6,Pneumonia,19696,0.088,0.44,19696,0.088,0.44
7,Atelectasis,14310,0.222,0.185,14310,0.222,0.185
8,Pneumothorax,21537,0.039,0.487,21537,0.039,0.487
9,Pleural Effusion,14967,0.184,0.161,14967,0.184,0.161
10,Pleural Other,21842,0.043,0.408,21842,0.043,0.408
11,Fracture,19960,0.066,0.311,19960,0.066,0.311
12,Support Devices,12440,0.18,0.086,12440,0.18,0.086
13,No Finding,18025,0.114,0.239,18025,0.114,0.239
