,diseases,#60-80,FPR_60-80,FNR_60-80,#40-60,FPR_40-60,FNR_40-60,#20-40,FPR_20-40,FNR_20-40,#80+,FPR_80+,FNR_80+,#0-20,FPR_0-20,FNR_0-20
0,Enlarged Cardiomediastinum,2417,0.29,0.088,2417,0.29,0.088,2417,0.29,0.088,2417,0.29,0.088,2417,0.29,0.088
1,Cardiomegaly,3189,0.368,0.08,3189,0.368,0.08,3189,0.368,0.08,3189,0.368,0.08,3189,0.368,0.08
2,Lung Opacity,2141,0.351,0.05,2141,0.351,0.05,2141,0.351,0.05,2141,0.351,0.05,2141,0.351,0.05
3,Lung Lesion,6444,0.092,0.374,6444,0.092,0.374,6444,0.092,0.374,6444,0.092,0.374,6444,0.092,0.374
4,Edema,4170,0.252,0.135,4170,0.252,0.135,4170,0.252,0.135,4170,0.252,0.135,4170,0.252,0.135
5,Consolidation,3689,0.277,0.124,3689,0.277,0.124,3689,0.277,0.124,3689,0.277,0.124,3689,0.277,0.124
6,Pneumonia,5684,0.176,0.303,5684,0.176,0.303,5684,0.176,0.303,5684,0.176,0.303,5684,0.176,0.303
7,Atelectasis,3068,0.368,0.074,3068,0.368,0.074,3068,0.368,0.074,3068,0.368,0.074,3068,0.368,0.074
8,Pneumothorax,6656,0.065,0.402,6656,0.065,0.402,6656,0.065,0.402,6656,0.065,0.402,6656,0.065,0.402
9,Pleural Effusion,3777,0.247,0.142,3777,0.247,0.142,3777,0.247,0.142,3777,0.247,0.142,3777,0.247,0.142
10,Pleural Other,6603,0.094,0.333,6603,0.094,0.333,6603,0.094,0.333,6603,0.094,0.333,6603,0.094,0.333
11,Fracture,5357,0.179,0.224,5357,0.179,0.224,5357,0.179,0.224,5357,0.179,0.224,5357,0.179,0.224
12,Support Devices,2935,0.23,0.051,2935,0.23,0.051,2935,0.23,0.051,2935,0.23,0.051,2935,0.23,0.051
13,No Finding,6526,0.059,0.217,6526,0.059,0.217,6526,0.059,0.217,6526,0.059,0.217,6526,0.059,0.217
