,diseases,#White,FPR_White,FNR_White,#Black,FPR_Black,FNR_Black,#Hisp,FPR_Hisp,FNR_Hisp,#Other,FPR_Other,FNR_Other,#Asian,FPR_Asian,FNR_Asian,#American,FPR_American,FNR_American
0,Enlarged Cardiomediastinum,18399,0.07,0.144,18399,0.07,0.144,18399,0.07,0.144,18399,0.07,0.144,18399,0.07,0.144,18399,0.07,0.144
1,Cardiomegaly,17245,0.19,0.234,17245,0.19,0.234,17245,0.19,0.234,17245,0.19,0.234,17245,0.19,0.234,17245,0.19,0.234
2,Lung Opacity,15058,0.169,0.226,15058,0.169,0.226,15058,0.169,0.226,15058,0.169,0.226,15058,0.169,0.226,15058,0.169,0.226
3,Lung Lesion,24823,0.044,0.509,24823,0.044,0.509,24823,0.044,0.509,24823,0.044,0.509,24823,0.044,0.509,24823,0.044,0.509
4,Edema,19793,0.14,0.221,19793,0.14,0.221,19793,0.14,0.221,19793,0.14,0.221,19793,0.14,0.221,19793,0.14,0.221
5,Consolidation,20245,0.077,0.225,20245,0.077,0.225,20245,0.077,0.225,20245,0.077,0.225,20245,0.077,0.225,20245,0.077,0.225
6,Pneumonia,22949,0.069,0.499,22949,0.069,0.499,22949,0.069,0.499,22949,0.069,0.499,22949,0.069,0.499,22949,0.069,0.499
7,Atelectasis,16741,0.197,0.218,16741,0.197,0.218,16741,0.197,0.218,16741,0.197,0.218,16741,0.197,0.218,16741,0.197,0.218
8,Pneumothorax,24765,0.041,0.462,24765,0.041,0.462,24765,0.041,0.462,24765,0.041,0.462,24765,0.041,0.462,24765,0.041,0.462
9,Pleural Effusion,17191,0.171,0.177,17191,0.171,0.177,17191,0.171,0.177,17191,0.171,0.177,17191,0.171,0.177,17191,0.171,0.177
10,Pleural Other,25409,0.034,0.458,25409,0.034,0.458,25409,0.034,0.458,25409,0.034,0.458,25409,0.034,0.458,25409,0.034,0.458
11,Fracture,23145,0.065,0.315,23145,0.065,0.315,23145,0.065,0.315,23145,0.065,0.315,23145,0.065,0.315,23145,0.065,0.315
12,Support Devices,14693,0.178,0.084,14693,0.178,0.084,14693,0.178,0.084,14693,0.178,0.084,14693,0.178,0.084,14693,0.178,0.084
13,No Finding,20900,0.105,0.267,20900,0.105,0.267,20900,0.105,0.267,20900,0.105,0.267,20900,0.105,0.267,20900,0.105,0.267
