,diseases,#M,FPR_M,FNR_M,#F,FPR_F,FNR_F
0,Enlarged Cardiomediastinum,15560,0.063,0.133,15560,0.063,0.133
1,Cardiomegaly,14524,0.181,0.209,14524,0.181,0.209
2,Lung Opacity,12811,0.175,0.197,12811,0.175,0.197
3,Lung Lesion,21425,0.047,0.438,21425,0.047,0.438
4,Edema,17003,0.141,0.21,17003,0.141,0.21
5,Consolidation,17359,0.08,0.215,17359,0.08,0.215
6,Pneumonia,19696,0.073,0.454,19696,0.073,0.454
7,Atelectasis,14310,0.182,0.21,14310,0.182,0.21
8,Pneumothorax,21537,0.038,0.486,21537,0.038,0.486
9,Pleural Effusion,14967,0.157,0.175,14967,0.157,0.175
10,Pleural Other,21842,0.029,0.447,21842,0.029,0.447
11,Fracture,19960,0.046,0.366,19960,0.046,0.366
12,Support Devices,12440,0.198,0.092,12440,0.198,0.092
13,No Finding,18025,0.127,0.211,18025,0.127,0.211
