,diseases,#60-80,FPR_60-80,FNR_60-80,#40-60,FPR_40-60,FNR_40-60,#20-40,FPR_20-40,FNR_20-40,#80+,FPR_80+,FNR_80+,#0-20,FPR_0-20,FNR_0-20
0,Enlarged Cardiomediastinum,2417,0.313,0.076,2417,0.313,0.076,2417,0.313,0.076,2417,0.313,0.076,2417,0.313,0.076
1,Cardiomegaly,3189,0.337,0.079,3189,0.337,0.079,3189,0.337,0.079,3189,0.337,0.079,3189,0.337,0.079
2,Lung Opacity,2141,0.297,0.066,2141,0.297,0.066,2141,0.297,0.066,2141,0.297,0.066,2141,0.297,0.066
3,Lung Lesion,6444,0.079,0.401,6444,0.079,0.401,6444,0.079,0.401,6444,0.079,0.401,6444,0.079,0.401
4,Edema,4170,0.19,0.184,4170,0.19,0.184,4170,0.19,0.184,4170,0.19,0.184,4170,0.19,0.184
5,Consolidation,3689,0.258,0.113,3689,0.258,0.113,3689,0.258,0.113,3689,0.258,0.113,3689,0.258,0.113
6,Pneumonia,5684,0.173,0.281,5684,0.173,0.281,5684,0.173,0.281,5684,0.173,0.281,5684,0.173,0.281
7,Atelectasis,3068,0.31,0.084,3068,0.31,0.084,3068,0.31,0.084,3068,0.31,0.084,3068,0.31,0.084
8,Pneumothorax,6656,0.07,0.392,6656,0.07,0.392,6656,0.07,0.392,6656,0.07,0.392,6656,0.07,0.392
9,Pleural Effusion,3777,0.276,0.102,3777,0.276,0.102,3777,0.276,0.102,3777,0.276,0.102,3777,0.276,0.102
10,Pleural Other,6603,0.083,0.348,6603,0.083,0.348,6603,0.083,0.348,6603,0.083,0.348,6603,0.083,0.348
11,Fracture,5357,0.177,0.224,5357,0.177,0.224,5357,0.177,0.224,5357,0.177,0.224,5357,0.177,0.224
12,Support Devices,2935,0.254,0.06,2935,0.254,0.06,2935,0.254,0.06,2935,0.254,0.06,2935,0.254,0.06
13,No Finding,6526,0.051,0.262,6526,0.051,0.262,6526,0.051,0.262,6526,0.051,0.262,6526,0.051,0.262
