,diseases,#White,FPR_White,FNR_White,#Black,FPR_Black,FNR_Black,#Hisp,FPR_Hisp,FNR_Hisp,#Other,FPR_Other,FNR_Other,#Asian,FPR_Asian,FNR_Asian,#American,FPR_American,FNR_American
0,Enlarged Cardiomediastinum,18399,0.069,0.14,18399,0.069,0.14,18399,0.069,0.14,18399,0.069,0.14,18399,0.069,0.14,18399,0.069,0.14
1,Cardiomegaly,17245,0.2,0.208,17245,0.2,0.208,17245,0.2,0.208,17245,0.2,0.208,17245,0.2,0.208,17245,0.2,0.208
2,Lung Opacity,15058,0.184,0.207,15058,0.184,0.207,15058,0.184,0.207,15058,0.184,0.207,15058,0.184,0.207,15058,0.184,0.207
3,Lung Lesion,24823,0.038,0.491,24823,0.038,0.491,24823,0.038,0.491,24823,0.038,0.491,24823,0.038,0.491,24823,0.038,0.491
4,Edema,19793,0.129,0.247,19793,0.129,0.247,19793,0.129,0.247,19793,0.129,0.247,19793,0.129,0.247,19793,0.129,0.247
5,Consolidation,20245,0.073,0.207,20245,0.073,0.207,20245,0.073,0.207,20245,0.073,0.207,20245,0.073,0.207,20245,0.073,0.207
6,Pneumonia,22949,0.084,0.435,22949,0.084,0.435,22949,0.084,0.435,22949,0.084,0.435,22949,0.084,0.435,22949,0.084,0.435
7,Atelectasis,16741,0.2,0.201,16741,0.2,0.201,16741,0.2,0.201,16741,0.2,0.201,16741,0.2,0.201,16741,0.2,0.201
8,Pneumothorax,24765,0.038,0.468,24765,0.038,0.468,24765,0.038,0.468,24765,0.038,0.468,24765,0.038,0.468,24765,0.038,0.468
9,Pleural Effusion,17191,0.18,0.153,17191,0.18,0.153,17191,0.18,0.153,17191,0.18,0.153,17191,0.18,0.153,17191,0.18,0.153
10,Pleural Other,25409,0.033,0.438,25409,0.033,0.438,25409,0.033,0.438,25409,0.033,0.438,25409,0.033,0.438,25409,0.033,0.438
11,Fracture,23145,0.067,0.302,23145,0.067,0.302,23145,0.067,0.302,23145,0.067,0.302,23145,0.067,0.302,23145,0.067,0.302
12,Support Devices,14693,0.179,0.113,14693,0.179,0.113,14693,0.179,0.113,14693,0.179,0.113,14693,0.179,0.113,14693,0.179,0.113
13,No Finding,20900,0.1,0.277,20900,0.1,0.277,20900,0.1,0.277,20900,0.1,0.277,20900,0.1,0.277,20900,0.1,0.277
