,diseases,#White,FPR_White,FNR_White,#Black,FPR_Black,FNR_Black,#Hisp,FPR_Hisp,FNR_Hisp,#Other,FPR_Other,FNR_Other,#Asian,FPR_Asian,FNR_Asian,#American,FPR_American,FNR_American
0,Enlarged Cardiomediastinum,4434,0.265,0.094,4434,0.265,0.094,4434,0.265,0.094,4434,0.265,0.094,4434,0.265,0.094,4434,0.265,0.094
1,Cardiomegaly,5709,0.281,0.108,5709,0.281,0.108,5709,0.281,0.108,5709,0.281,0.108,5709,0.281,0.108,5709,0.281,0.108
2,Lung Opacity,3995,0.255,0.082,3995,0.255,0.082,3995,0.255,0.082,3995,0.255,0.082,3995,0.255,0.082,3995,0.255,0.082
3,Lung Lesion,10766,0.08,0.422,10766,0.08,0.422,10766,0.08,0.422,10766,0.08,0.422,10766,0.08,0.422,10766,0.08,0.422
4,Edema,7250,0.207,0.158,7250,0.207,0.158,7250,0.207,0.158,7250,0.207,0.158,7250,0.207,0.158,7250,0.207,0.158
5,Consolidation,6437,0.259,0.117,6437,0.259,0.117,6437,0.259,0.117,6437,0.259,0.117,6437,0.259,0.117,6437,0.259,0.117
6,Pneumonia,9537,0.124,0.379,9537,0.124,0.379,9537,0.124,0.379,9537,0.124,0.379,9537,0.124,0.379,9537,0.124,0.379
7,Atelectasis,5493,0.236,0.127,5493,0.236,0.127,5493,0.236,0.127,5493,0.236,0.127,5493,0.236,0.127,5493,0.236,0.127
8,Pneumothorax,10978,0.053,0.417,10978,0.053,0.417,10978,0.053,0.417,10978,0.053,0.417,10978,0.053,0.417,10978,0.053,0.417
9,Pleural Effusion,6626,0.252,0.112,6626,0.252,0.112,6626,0.252,0.112,6626,0.252,0.112,6626,0.252,0.112,6626,0.252,0.112
10,Pleural Other,11034,0.068,0.418,11034,0.068,0.418,11034,0.068,0.418,11034,0.068,0.418,11034,0.068,0.418,11034,0.068,0.418
11,Fracture,8964,0.13,0.297,8964,0.13,0.297,8964,0.13,0.297,8964,0.13,0.297,8964,0.13,0.297,8964,0.13,0.297
12,Support Devices,4807,0.191,0.069,4807,0.191,0.069,4807,0.191,0.069,4807,0.191,0.069,4807,0.191,0.069,4807,0.191,0.069
13,No Finding,10621,0.062,0.217,10621,0.062,0.217,10621,0.062,0.217,10621,0.062,0.217,10621,0.062,0.217,10621,0.062,0.217
