,diseases,#M,FPR_M,FNR_M,#F,FPR_F,FNR_F
0,Enlarged Cardiomediastinum,4069,0.254,0.087,4069,0.254,0.087
1,Cardiomegaly,5162,0.268,0.098,5162,0.268,0.098
2,Lung Opacity,3715,0.201,0.099,3715,0.201,0.099
3,Lung Lesion,9809,0.077,0.42,9809,0.077,0.42
4,Edema,6635,0.22,0.131,6635,0.22,0.131
5,Consolidation,6067,0.24,0.135,6067,0.24,0.135
6,Pneumonia,8742,0.133,0.335,8742,0.133,0.335
7,Atelectasis,5099,0.239,0.124,5099,0.239,0.124
8,Pneumothorax,10218,0.052,0.439,10218,0.052,0.439
9,Pleural Effusion,6161,0.21,0.153,6161,0.21,0.153
10,Pleural Other,10055,0.078,0.369,10055,0.078,0.369
11,Fracture,8286,0.149,0.267,8286,0.149,0.267
12,Support Devices,4472,0.179,0.079,4472,0.179,0.079
13,No Finding,9579,0.063,0.184,9579,0.063,0.184
